266 contests
rank	name	rating	participations
1	neal_wu	3596.4455232825558	52
2	JOHNKRAM	3452.4155889870035	124
3	uwi	3394.5305585049587	199
4	tmwilliamlin168	3369.275328369152	30
5	xiaowuc1	3367.258931751374	32
6	Heltion	3357.553841702577	45
7	hank55663	3308.0184098821996	67
8	LayCurse	3298.1498532634473	100
9	natsugiri	3289.811871411686	102
10	ASAPIN	3241.530828364344	25
11	hitonanode	3202.4490040510477	80
12	superluminal	3182.5846262857945	128
13	zerotrac2	3172.9181457428526	114
14	huzecong	3169.620971626182	38
15	kmjp	3162.363760301705	110
16	SaveVMK	3162.016970565671	163
17	beet	3147.425966047498	80
18	QingchuanZhang-Microsoft	3139.07940126328	60
19	awice	3102.2251509959165	126
20	liouzhou_101	3101.8045749511757	109
21	huangyuyang	3098.7748875795883	68
22	lympanda	3095.094831991869	68
23	cuiaoxiang	3088.7358191074118	209
24	jonathanirvings	3088.2267898523864	16
25	Dymonchyk	3062.9546298133914	30
26	jtjl	3054.2526134530035	26
27	wjli	3042.9257256577953	183
28	zcgzcgzcg	3026.2706946799917	32
29	lucifer1004	3023.785409754934	91
30	yubowenok	3015.027761430111	168
31	zqy1018	3012.2297467050744	87
32	sheepforever	2996.1573245126865	23
33	skywalkert	2984.4259340425992	20
34	arknave	2984.2594870052235	35
35	kotamanegi	2970.0352821732904	29
36	OTTFF	2964.3689536203833	142
37	nhho	2960.2226041394842	83
38	emthrm	2928.6595533673453	41
39	keep__calm	2919.8813822802326	30
40	badgergo	2914.0377023110946	20
41	foorest	2903.8293561612227	27
42	xh286286	2900.786347277051	61
43	i_love_xiaoshagua_cpp	2888.8202611373954	83
44	qwnjc	2887.1950225877354	248
45	riantkb	2885.591684867564	17
46	lbjlc	2874.713004574085	125
47	y0105w49	2873.97839464974	17
48	sleepybag	2868.7730371500315	56
49	daodao-2	2867.5926451165483	53
50	Fr0benius	2865.7457500484643	70
51	cchao	2860.2038142630577	59
52	lozy219	2858.6306870451226	66
53	chenwang0517	2856.0900638433104	33
54	w285714	2850.5282980929114	52
55	DickLearning	2850.1996086814584	83
56	EmKjp	2840.798405311564	32
57	wnjxyk	2836.6429616108962	103
58	LighT-cml	2836.4150197912813	19
59	ykx_akks	2835.412269279863	60
60	besieger	2834.1564398794044	39
61	vipjml	2829.621145521298	65
62	pku_erutan	2829.435755624286	77
63	dreamoon	2825.2072769671277	69
64	hamayanhamayan	2821.3435901154494	44
65	han3000	2820.5793450385127	50
66	Kmcode	2813.098619759389	31
67	szp14	2805.585426174895	216
68	_-owo-_	2804.7672376578594	27
69	ychzhou	2803.5539992286135	28
70	endlesscheng	2802.7877744575267	59
71	satanic0258	2801.6043271993544	33
72	hahahiehie	2799.6169343489933	145
73	arignote	2797.81714808694	46
74	HanaYukii	2796.366643897542	36
75	kzyKT	2793.653276111676	118
76	qqwqert007	2793.205863514058	31
77	LighTcml	2792.3417311441335	26
78	LarryNY	2781.321793187193	81
79	mingqin-chen	2779.7153616161063	29
80	farmerboy	2778.8860059956805	89
81	x____x	2775.3383506009213	141
82	zscnash	2774.786785583217	23
83	LTzycLT	2773.718097177072	57
84	penguinhacker	2773.054791221772	25
85	WJTung	2772.666876091394	119
86	RadianceSheep	2771.659714743325	27
87	tsholmes	2771.450676268729	21
88	saffah	2770.660795200581	18
89	pr3pony	2769.7847734797006	24
90	jasonvictoryan	2766.735696902954	12
91	tian-tang-6	2764.0848089972383	45
92	nthistle	2763.6993939831286	26
93	ZhuolinYang	2759.962946144188	36
94	jevancc	2757.5266922609785	47
95	shik	2756.6826326085825	12
96	2499370956	2756.517761623333	170
97	xi-jun-xiao-zi	2755.072187298159	66
98	taran_1407	2753.800157720988	30
99	pentester	2752.252469567297	43
100	deadRabbit	2751.1364089439144	49
101	noxe	2750.4079417469393	26
102	multipass	2748.9824892533293	31
103	laekov_prc	2747.089495925285	34
104	wangyisong	2742.4161942076767	15
105	user7269F	2742.3439065561033	11
106	KakaHiguain	2742.113016079431	56
107	agoodusername	2741.640249523636	24
108	Akatsuki_	2740.6753371715463	126
109	jt3698	2739.0943618312476	26
110	A_Le_K	2738.834692890267	75
